"filename", "language", "JSON with Comments", "Markdown", "JavaScript", "JSON", "Vue", "HTML", "Properties", "PHP", "XML", "SCSS", "CSS", "comment", "blank", "total"
"d:\Jpeniel\jeunes_jpeniel_events\README.md", "Markdown", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30
"d:\Jpeniel\jeunes_jpeniel_events\index.html", "HTML", 0, 0, 0, 0, 0, 134, 0, 0, 0, 0, 0, 8, 13, 155
"d:\Jpeniel\jeunes_jpeniel_events\infos.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"d:\Jpeniel\jeunes_jpeniel_events\jsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\Jpeniel\jeunes_jpeniel_events\package-lock.json", "JSON", 0, 0, 0, 1148, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1149
"d:\Jpeniel\jeunes_jpeniel_events\package.json", "JSON", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"d:\Jpeniel\jeunes_jpeniel_events\src\App.vue", "Vue", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 1, 3, 13
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\._icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\._icon.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22403, 29, 7287, 29719
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\icon.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 1, 24
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\responsive.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21479, 163, 1, 21643
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\responsive.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18873, 456, 0, 19329
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\style.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 3
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\vendors.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13737, 254, 1661, 15652
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\css\vendors.min.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 1, 43
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\demo-decor-store-single-product.html", "HTML", 0, 0, 0, 0, 0, 1072, 0, 0, 0, 0, 0, 67, 0, 1139
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\demo-travel-agency-tours.html", "HTML", 0, 0, 0, 0, 0, 458, 0, 0, 0, 0, 0, 35, 0, 493
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\demo-travel-agency.html", "HTML", 0, 0, 0, 0, 0, 2509, 0, 0, 0, 0, 0, 278, 13, 2800
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\demos\ebook\ebook.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 12, 0, 122
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\demos\travel-agency\travel-agency.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 360, 26, 90, 476
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\fonts\feather.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 295, 0, 0, 3, 552, 850
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\fonts\icomoon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2096, 0, 0, 0, 0, 2096
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\fonts\themify.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 362, 0, 0, 0, 0, 362
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\american-express.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\app-store-black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\app-store-white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\awwards.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\blockquote-right-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\colorlib.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\crafto-landing-page-envato-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\crafto-landing-page-specialized-features-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-accounting-company-icon-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-accounting-company-icon-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-accounting-company-icon-06.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-accounting-company-icon01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-accounting-company-icon02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-accounting-company-icon03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-architecture-dotted-pattern.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-barber-icon-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 48
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-barber-icon-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-barber-icon-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 2, 44
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-barber-icon-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 2, 59
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-branding-agency-pattern.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-app-store.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-google-play-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 1, 35
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-highlight-separator-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-highlight-separator-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-highlight-separator-very-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-highlight-separator.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-06.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-07.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-08.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-cryptocurrency-icon-09.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-design-agency-vertical-line-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-design-agency-vertical-line-footer-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-digital-agency-awwards.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-digital-agency-envato.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-footer-pattern.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-green-energy-highlight-separator.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-horizontal-portfolio-about-awwwards.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hosting-home-icon-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hosting-home-icon-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 1, 20
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hosting-home-icon-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hosting-home-icon-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hosting-home-icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hotel-and-resort-client-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hotel-and-resort-client-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hotel-and-resort-client-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 1, 42
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-hotel-and-resort-client-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-06.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-07.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-lawyer-practice-areas-icon-08.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-logistics-client-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 274, 0, 0, 0, 1, 275
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-logistics-client-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-logistics-client-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 1, 49
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-logistics-client-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 1, 50
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-logistics-client-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-logistics-client-06.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 1, 38
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-logistics-diagonal-line-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-marketing-dot.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-marketing-footer-dot.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-06.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-11.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-12.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-13.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 1, 22
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-14.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 27
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-15.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-16.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-17.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 29
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-icon-18.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-pattern-white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-medical-pattern.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 1, 40
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-minimal-portfolio-pattern.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 1, 63
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-music-onepage-vertical-line-bg.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-pizza-parlor-home-icon-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 2, 72
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-pizza-parlor-home-icon-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 54
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-pizza-parlor-home-icon-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 2, 53
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-pizza-parlor-home-icon-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 2, 39
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-pizza-parlor-home-icon-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 54
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-pizza-parlor-home-icon-06.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 2, 54
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-apartment.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 1, 61
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-bath-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-bath.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-bed-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-bed.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-car.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-condominium.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-home.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-office.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 1, 44
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-shop.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 23
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-size-small.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 1, 24
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-icon-swimming.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-logo-01.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\Jpeniel\jeunes_jpeniel_events\src\assets\images\demo-real-estate-logo-02.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
